null,null,null,null,null,null:null
null,null,null,null,null,null:null
null,null,4,null,null,null:null
null,16,17,10,null,null:12
11,null,null,4,null,5:15
null,1,null,2,5,12:null
5,null,1,9,17,18:2
null,17,23,null,null,8:5
3,null,14,null,null,26:7
27,null,7,4,30,null:25
null,30,16,null,18,4:8
9,12,19,4,25,33:null
9,null,null,29,1,3:15
20,6,null,3,null,19:28
5,null,23,6,29,20:10
12,5,25,37,26,34:2
36,34,27,28,15,3:8
27,16,22,null,33,34:26
19,31,17,2,28,null:14
null,null,27,20,34,25:8
19,28,36,16,13,26:9
17,14,null,9,12,35:3
13,22,30,36,4,43:29
35,5,28,29,24,42:34
6,11,12,25,35,36:43
24,6,40,33,19,4:11
39,36,3,28,33,17:null
35,15,44,1,30,14:3
35,44,24,14,3,37:27
11,40,31,33,5,27:41
24,12,34,16,21,10:44
42,33,11,3,39,37:32
26,27,5,12,3,38:7
12,28,3,1,8,26:5
12,34,2,11,15,40:31
34,15,2,40,12,42:17
19,20,2,10,4,31:16
18,11,32,1,44,22:14
31,12,6,26,19,27:44
15,30,7,4,3,10:20
40,19,31,41,17,13:15
26,12,27,13,21,23:14
27,16,12,33,23,35:26
30,21,27,17,37,45:16
30,24,6,11,27,37:28
27,9,19,32,16,42:25
9,36,11,26,45,35:18
11,29,1,9,20,35:7
23,20,24,17,6,2:12
28,24,44,31,38,34:39
21,19,31,10,5,36:29
14,31,11,12,28,42:38
30,17,4,25,32,19:34
33,36,25,1,19,29:32
10,17,1,3,2,29:19
15,26,1,32,33,19:14
12,11,3,6,26,23:39
9,32,45,2,4,20:19
34,13,20,40,37,45:21
13,32,11,25,4,23:36
29,25,22,26,28,19:37
34,20,18,24,31,36:35
30,33,29,39,22,21:2
21,23,22,7,5,28:33
6,21,18,7,2,3:26
13,9,27,42,4,43:41
6,23,9,20,4,25:29
16,10,11,15,5,40:27
30,23,40,8,26,27:17
28,37,41,4,5,26:44
12,37,23,33,41,39:34
13,37,10,17,5,40:33
36,21,17,15,1,16:39
9,17,27,19,24,1:16
35,8,45,36,42,28:43
38,15,2,41,3,14:9
30,6,12,2,15,21:36
14,20,21,3,19,35:31
30,13,42,32,38,28:23
9,38,10,41,2,6:21
11,37,34,21,6,40:32
38,6,10,12,35,30:26
8,44,28,21,14,22:11
16,43,30,33,24,39:45
20,31,16,25,29,30:33
11,4,3,16,43,38:44
15,43,23,18,7,17:35
37,6,36,40,42,20:21
12,20,3,1,7,45:35
5,22,34,31,17,23:28
36,35,39,6,33,23:24
8,4,9,21,22,38:29
30,14,18,43,26,37:23
35,43,38,11,1,40:44
4,41,29,26,17,25:35
36,8,33,34,43,26:28
7,35,10,12,9,28:13
14,31,11,23,36,41:13
34,7,4,22,24,43:25
30,2,8,9,17,34:43
29,23,3,5,20,25:44
3,15,43,34,1,7:31
37,18,20,44,27,29:13
24,2,11,41,12,32:26
39,33,29,42,21,45:43
8,29,43,31,14,39:25
21,2,22,35,10,43:32
25,41,9,18,22,36:27
17,8,40,15,34,31:16
12,33,40,5,16,25:22
8,22,11,4,1,23:31
5,42,8,26,20,18:31
4,22,9,42,6,45:43
15,41,42,6,44,45:29
14,15,10,40,9,45:27
2,12,39,16,6,7:27
34,21,8,33,39,17:16
2,10,38,14,35,36:15
2,9,39,37,44,42:24
28,11,4,12,13,44:27
34,38,39,25,43,45:28
27,15,1,9,2,31:43
1,22,7,28,45,44:23
23,13,10,17,8,27:18
26,6,14,19,27,7:31
14,32,33,6,2,29:24
22,8,23,33,13,17:16
33,5,6,36,41,44:22
1,38,35,17,8,24:45
35,5,36,20,27,40:28
40,5,31,10,42,26:27
1,30,8,14,44,17:39
25,10,3,11,12,44:23
6,28,33,11,17,41:30
26,23,14,34,40,45:25
26,14,5,42,17,41:23
31,4,3,37,43,8:22
35,7,33,11,43,28:45
28,43,39,19,44,45:22
1,24,6,36,32,43:45
13,32,15,16,42,19:29
24,31,33,4,37,29:20
31,12,13,27,14,39:41
1,14,4,6,10,13:19
15,6,27,42,22,24:45
15,34,25,45,7,13:18
11,2,45,17,3,9:44
14,1,30,21,3,41:9
12,26,35,44,8,40:17
24,9,25,6,34,8:38
27,9,20,33,13,42:19
25,23,42,12,15,38:21
13,6,2,33,38,39:34
31,21,27,37,16,3:42
26,34,13,27,28,11:42
18,6,41,9,38,40:27
11,26,17,5,36,10:21
16,23,12,34,8,45:32
31,24,14,41,6,20:18
21,20,5,8,32,33:37
16,2,42,3,5,29:38
21,39,32,45,44,9:34
26,6,10,40,38,31:24
20,30,44,31,15,38:24
14,23,38,42,4,34:40
1,25,43,24,42,38:39
1,13,25,45,23,37:17
5,2,14,3,21,15:42
30,20,23,9,19,17:34
10,3,11,37,30,31:38
28,22,18,19,15,9:25
25,16,11,34,44,29:10
14,15,13,4,44,43:19
25,15,17,43,23,28:42
13,5,22,1,8,35:36
41,5,9,14,12,17:29
26,24,12,22,17,18:25
22,15,38,27,42,35:43
38,5,36,22,43,12:18
15,13,37,32,43,27:31
38,29,27,4,36,37:42
9,18,2,23,26,24:29
11,14,6,32,44,2:3
28,22,11,7,34,26:30
19,6,26,13,45,40:39
20,9,29,41,17,32:40
17,4,10,45,40,3:22
6,18,2,44,22,20:38
39,22,13,35,38,30:37
9,31,40,32,18,34:30
35,38,11,24,41,30:12
12,7,10,8,30,39:29
5,2,23,24,13,27:31
37,31,24,12,39,41:32
18,19,44,16,2,17:34
18,2,7,39,36,26:17
31,7,8,15,5,44:25
7,17,34,13,37,42:22
1,33,43,10,22,30:18
10,33,38,23,13,31:26
12,45,22,42,11,39:35
16,8,19,25,41,32:24
39,21,10,14,41,37:16
8,17,38,2,41,21:23
20,4,15,31,7,26:13
16,8,3,31,10,26:35
36,3,4,45,35,22:41
9,3,41,8,29,18:37
17,8,9,28,4,18:41
19,4,42,34,20,7:22
10,11,24,37,39,41:32
7,30,45,38,32,39:35
7,2,14,23,41,40:9
38,21,40,4,15,7:43
6,1,12,13,28,29:36
37,11,12,15,6,10:3
33,10,14,18,44,22:28
16,7,15,41,26,30:17
29,13,15,17,4,19:31
11,19,36,31,29,27:35
8,5,12,15,2,3:22
32,11,21,23,43,24:29
16,6,3,13,44,19:29
19,16,9,17,14,24:21
18,6,30,9,28,33:36
5,11,30,31,43,37:19
33,4,14,30,42,13:36
15,14,5,21,37,7:29
9,11,25,44,37,45:27
40,9,22,23,38,29:19
17,21,28,24,27,30:36
10,37,40,45,25,39:24
13,9,31,21,4,43:35
6,31,4,42,39,18:32
26,1,41,35,16,27:34
19,6,1,21,14,35:32
18,10,9,25,38,24:22
5,18,12,6,43,37:33
20,16,37,43,23,21:35
37,24,33,2,42,25:31
35,3,13,25,36,26:43
43,13,17,5,18,25:28
7,3,11,13,16,41:43
31,9,6,1,45,10:30
41,44,43,45,21,26:34
9,23,40,20,16,27:36
5,17,3,40,41,27:36
7,6,44,39,37,36:27
5,37,42,24,20,22:30
10,1,44,38,31,32:30
9,33,44,20,10,40:31
36,15,11,39,31,24:29
13,14,8,5,35,9:25
20,7,18,27,37,24:30
41,18,26,32,36,17:24
41,7,25,36,23,33:24
41,6,1,30,23,32:26
9,44,3,17,22,29:24
13,21,6,26,15,31:17
1,23,34,2,31,41:37
37,12,5,29,24,32:21
4,32,45,8,39,38:15
41,19,10,1,2,15:40
34,4,24,45,42,11:26
17,25,1,44,19,45:39
6,4,1,44,45,15:22
16,14,4,22,36,28:42
41,5,7,27,35,39:31
39,13,23,3,22,11:31
21,17,27,45,22,11:40
4,2,35,3,43,11:39
20,18,43,9,28,38:41
20,12,30,32,25,28:19
24,14,9,20,34,22:39
6,22,21,45,2,14:19
27,5,26,11,42,9:37
15,10,34,37,32,39:35
4,1,9,41,23,28:29
37,4,1,44,21,22:17
19,3,1,39,25,33:22
21,4,5,32,40,37:16
41,10,18,22,30,36:12
13,30,44,33,15,32:11
9,18,24,42,31,36:34
26,6,1,3,40,33:29
17,24,7,2,16,29:34
23,1,30,21,37,12:38
14,24,19,38,31,36:42
25,4,1,43,15,31:17
41,14,10,17,34,32:27
9,3,23,17,32,12:26
41,23,25,6,20,33:12
13,19,22,31,21,44:41
16,1,29,43,2,33:36
38,11,6,5,42,30:36
3,30,14,29,26,36:35
40,19,8,21,27,25:43
7,25,1,3,44,9:40
9,3,17,4,24,18:25
42,17,11,44,31,27:36
19,1,14,26,24,36:33
39,8,16,5,41,13:30
16,15,40,32,23,20:36
39,19,5,38,41,30:26
6,31,12,42,17,30:43
6,23,7,5,42,40:32
25,31,41,19,35,21:36
14,7,1,3,19,20:33
8,15,5,6,22,45:23
38,8,23,7,21,37:44
40,6,27,30,12,37:43
10,2,18,16,28,19:34
13,22,9,26,44,36:17
10,16,9,7,41,36:33
8,22,24,41,36,33:13
30,18,33,24,12,31:22
2,7,45,14,33,29:21
9,13,14,7,18,26:12
20,16,1,45,33,21:43
40,3,2,41,23,36:10
7,13,16,26,21,18:35
40,4,13,41,44,35:43
37,2,5,26,19,23:34
19,10,12,7,5,26:18
37,11,16,13,20,39:8
40,16,3,41,17,7:14
35,9,31,28,33,38:34
39,10,7,27,31,44:43
4,6,25,7,44,18:39
39,4,3,5,7,12:40
6,16,42,32,39,22:23
37,3,15,2,5,17:9
24,19,17,18,35,21:38
18,25,13,29,31,44:32
33,19,24,40,42,31:8
32,13,4,25,12,16:37
37,13,8,6,14,1:20
32,16,12,42,15,30:8
25,1,29,38,6,17:37
34,8,9,41,38,28:43
10,9,6,13,37,40:29
10,20,7,18,27,29:17
9,3,31,25,43,23:32
7,17,5,39,44,9:32
12,15,41,11,17,42:31
18,15,45,37,27,8:16
37,6,33,15,31,20:24
3,4,2,15,36,14:22
12,8,15,33,20,22:11
6,20,10,26,32,29:40
17,5,9,13,19,20:39
36,3,12,10,26,42:31
34,10,6,45,27,30:37
6,7,5,23,37,8:12
29,9,42,30,33,36:38
16,26,29,17,34,7:10
11,3,28,1,9,36:10
9,25,1,20,43,33:39
5,8,12,41,30,18:28
35,28,13,41,15,18:19
31,20,24,10,28,27:19
18,7,45,14,19,33:37
38,24,42,37,31,39:9
30,15,14,9,31,13:5
6,21,16,32,36,35:27
8,2,41,32,17,39:36
38,7,4,45,16,33:35
20,18,26,27,33,9:36
9,23,12,6,20,42:30
28,6,12,23,19,31:8
10,32,43,30,19,17:36
24,10,20,33,30,31:6
1,43,26,16,27,5:34
7,12,15,23,27,32:33
8,18,31,32,13,16:2
9,32,23,15,21,44:29
1,39,45,41,28,35:2
11,3,45,19,23,34:35
28,6,38,45,14,35:32
8,5,19,1,30,27:15
28,5,13,3,31,21:39
7,45,23,28,16,15:32
32,18,1,13,14,44:30
39,8,45,42,35,21:23
37,8,22,35,43,39:33
6,17,34,11,23,26:33
5,11,13,9,26,30:27
36,3,6,32,43,34:2
29,12,11,13,33,43:24
25,5,1,19,8,44:30
12,45,18,24,25,44:38
2,12,28,29,24,18:27
23,24,7,43,42,29:44
2,13,45,16,43,34:30
34,12,27,25,23,31:29
12,13,8,4,5,38:26
5,34,45,29,14,37:32
8,43,28,25,15,36:31
2,3,19,8,6,43:15
10,19,27,40,43,17:28
10,39,44,40,27,37:26
37,6,11,8,45,40:28
1,45,27,22,28,43:13
32,8,11,7,27,21:5
2,20,17,15,21,28:35
11,22,30,20,16,36:8
28,2,38,29,17,14:32
23,7,21,1,43,40:39
37,18,38,45,5,40:25
37,24,2,10,14,3:43
33,1,6,42,23,28:13
21,28,19,3,42,15:8
21,12,13,44,3,39:29
20,42,43,29,36,12:26
4,5,25,3,18,28:40
7,38,41,33,25,27:34
21,5,6,41,29,34:9
11,22,25,44,31,26:27
16,25,23,44,30,8:41
10,17,40,26,22,35:27
37,21,18,22,42,35:40
8,10,21,31,34,39:25
3,6,5,2,21,42:35
7,25,21,19,32,40:26
34,13,45,32,22,17:8
4,11,9,20,26,13:28
22,36,28,25,42,40:24
31,9,1,42,2,29:40
29,6,14,44,25,19:42
29,3,11,5,14,32:39
10,42,45,36,18,11:26
33,21,12,7,20,18:13
33,10,35,43,29,13:34
32,12,35,8,1,25:31
29,45,32,22,18,11:37
32,4,6,39,42,40:10
27,25,44,45,15,33:34
5,37,44,17,40,34:10
6,4,1,2,17,37:27
5,20,16,39,24,41:34
5,4,36,44,41,40:35
14,44,3,17,45,13:34
9,21,5,37,22,32:8
6,36,44,15,28,34:10
42,3,27,20,31,8:36
5,36,37,17,15,40:10
6,33,22,5,31,35:41
12,15,29,3,45,14:30
11,35,2,15,21,16:30
9,23,37,43,28,8:25
1,44,25,38,35,36:29
43,12,5,34,17,13:36
33,44,23,2,25,38:32
3,43,19,45,17,13:29
8,34,23,1,19,15:33
5,12,29,44,13,38:35
32,10,43,34,2,17:11
44,9,19,17,2,43:15
18,38,1,19,14,37:8
30,45,18,29,42,11:32
10,5,1,16,15,26:25
43,12,2,18,4,20:10
33,4,43,1,35,36:21
3,18,37,23,38,35:30
5,43,44,29,15,30:21
42,18,2,40,15,33:26
8,25,24,20,1,38:7
7,4,26,29,42,24:27
33,3,17,29,4,42:43
34,2,28,45,13,23:11
4,38,24,45,29,22:37
32,18,21,17,29,30:24
4,2,18,39,40,27:20
34,9,17,26,19,8:22
30,5,13,29,44,35:7
3,43,44,12,38,19:29
44,31,3,20,34,7:6
9,3,23,25,28,32:35
37,40,26,23,20,12:34
30,9,13,20,12,34:21
13,14,3,39,2,45:31
31,5,36,24,18,11:26
4,12,16,40,37,44:27
42,5,12,13,17,41:7
8,20,3,40,23,19:13
5,31,43,40,1,15:27
15,2,30,24,14,45:10
8,28,43,23,14,32:21
25,15,3,22,9,19:26
24,36,1,16,27,28:31
6,36,17,12,24,19:29
34,2,40,1,27,7:22
34,3,17,2,38,15:16
20,38,36,18,28,32:25
5,12,38,40,7,36:22
10,3,17,23,45,20:29
15,3,39,27,26,35:19
43,14,23,27,45,19:10
35,2,20,39,1,6:25
4,14,10,2,24,44:39
5,7,26,8,15,29:22
41,4,40,38,2,18:43
5,4,15,19,1,6:30
40,37,19,25,32,9:21
2,35,43,37,1,19:31
